experience_level,employment_type,remote_ratio,company_size,salary_in_usd
0,0,0,1,0.234
0,0,1,2,0.133
0,0,1,2,0.133
0,0,0.5,1,0.036
0,0,0,1,0.234
1,0,1,0,0.076
0,0,1,2,0.133
0,0,1,2,0.133
1,0,1,0,0.076
1,0,1,0,0.076
1,0,1,0,0.076
0,0,0,1,0.234
0,0,0,1,0.234
0,0,1,2,0.133
2,0,1,1,0.17
2,0,1,1,0.17
0,0,1,2,0.133
1,0,1,0,0.076
0,0,0.5,1,0.036
1,0,1,0,0.076
2,0,1,1,0.17
0,0,0,1,0.234
0,0,0,1,0.234
0,0,0,1,0.234
2,0,1,1,0.17
1,0,1,0,0.076
0,0,1,2,0.133
1,0,1,0,0.076
0,0,1,2,0.133
0,0,0.5,1,0.036
0,0,0.5,1,0.036
2,0,1,1,0.17
0,0,0,1,0.234
2,0,1,1,0.17
0,0,0,1,0.234
2,0,1,1,0.17
0,0,0,1,0.234
0,0,0.5,1,0.036
0,0,0.5,1,0.036
0,0,1,2,0.133
0,0,0.5,1,0.036
2,0,1,1,0.17
1,0,1,,
